visto	to see/ to observe (to perceive with one’s eyes)
criança	child (young person)
luz	light (medium within which vision is possible)
filme	to film
música	music (melodic and rhythmic sounds made as art)
portanto	hence/ therefore
haver	there be/ exist
esteve	to be (indicates location in space)
aqueles	that (far from the speaker and listener)
pôr	to put/ to place
querer	to want/ to wish/ to desire
sexo	sex
fogo	fire (chemical reaction producing a flame)
connosco	with us
beber	to drink (something)
toma	to take (to get something into one’s possession or control)
mr	initialism of marca registrada /marca registada (“registered…
houve	there be/ exist
tratar	to treat (to handle/ deal with or behave towards in a specific way)
pequena	small
ganhar	to win (to achieve victory in a game/ a war/ etc)
ponto	point/ a specific spot/ location/ or place
milhões	million (10⁶)
manter	to keep/ maintain
precisar	to need
rua	street/ road (paved path)
olhe	to look
pé	foot/ part of the human body
fazemos	to make
encontrei	to meet
miúda	very small
existe	inflection of existir:
arranjar	to arrange
dez	ten
último	final/ last
assassino	murderous
miúdo	very small
tinhas	to have
estávamos	to be (indicates location in space)
cedo	early (at a time before expected/ sooner than usual)
vês	to see/ to observe (to perceive with one’s eyes)
boca	mouth (the opening of a creature through which food is ingested)
boas	good
acontece	to happen/ to occur/ to take place
jovem	young/ youthful
preocupes	to concern/ worry (to cause concern to/ cause unrest)
comprar	to buy
situação	situation (one's status with regard to circumstances)
esposa	female equivalent of esposo: wife
sistema	system
devem	should (indicates that an action is considered by the speaker to…
jogar	to play (to participate in a sport or game)
natal	natal (of or relating to birth)
capaz	able/ capable
certa	feminine singular of certo
michael
amiga	friend (person whose company one enjoys)
seguro	safe/ secure (free from danger)
questão	question (phrase asking for information)
relação	relationship
perguntas	question
encontro	to meet
sob	under
cão	dog
quiseres	to want/ to wish/ to desire
negócio	affair (that which is done or is to be done)
quiser	to want/ to wish/ to desire
nisto	contraction of em + este/ literally “in this (masculine)”
sinal	sign/ mark/ trace (a visible or otherwise perceivable indication…
linda	feminine singular of lindo
facto	fact (something which is real)
mensagem	message (concept or information conveyed)
próximo	near/ close
apanhar	to collect/ gather
adoro	to love (to have a great admiration or affection for something or…
crime	crime
banho	bath (the act of bathing)
própria	own
deves	should (indicates that an action is considered by the speaker to…
grandes	large/ great/ big (of great size or extent)
chamada	to call/ to summon (to ask someone to come)
finalmente	eventually/ at last/ finally (after a long time)
novamente	again (having already happened before)
futuro	future
começou	to start/ to begin/ to commence
perguntar	to ask (request an answer)
notícias	news (a single news item)
acabei	to finish (to be over/ completed)
fique	to become/ to get/ to end up
ambos	both
lhes	dative of ele and ela: (to) him/her/it
chamar	to call/ to summon (to ask someone to come)
entendo	to understand/ to grasp/ to comprehend
cabelo	hair/ head of hair
entra	to enter/ to go into
grupo	group (number of things or persons being in some relation to each…
doutor	a doctor (a person who has attained a doctorate)
salvar	to save (to help someone to survive/ to make sure something isn’t…
livre	free
viagem	trip/ journey/ voyage
vontade	will/ the condition of feeling like or wanting something
sozinha	alone/ by oneself/ on one's own
conversa	to talk/ to chat (to engage in conversation)
tipos	kind/ sort/ type (grouping based on shared characteristics)
fugir	to run away/ to flee (to move away from something unpleasant…
palavras	word
consegui	to get/ obtain
tinham	to have
devíamos	should (indicates that an action is considered by the speaker to…
lista	list
gostas	to like
lutar	to fight (participate in a conflict)
escritório	office (building or room)
peço	to ask for/ to request (to express the need or desire for something)
final	final/ ultimate/ last
procurar	to search/ to seek/ to look for
deixou	to leave/ to exit (to go out of or away from a place)
alto	loud
interessa	inflection of interessar:
bonito	pretty/ lovely
chão	ground/ soil/ earth
campo	country/ countryside
perfeito	perfect
tio	pibling
estiver	to be (indicates location in space)
pelas	contraction of por + o/ by the/ for the/ through the
dito	to say
respeito	respect (admiration for a person or entity because of perceived merit)
completamente	completely/ fully/ totally (to a complete extent or degree)
deveria	should (indicates that an action is considered by the speaker to…
vista	to see/ to observe (to perceive with one’s eyes)
charlie
breve	brief/ short
melhores	comparative degree of bom: better
á	contraction of a (“to”) + a f sg (“the”): feminine singular of ao
bonita	pretty/ lovely
normal	normal/ standard/ regular
devemos	should (indicates that an action is considered by the speaker to…
fiquei	to become/ to get/ to end up
mortos	to kill (to cause to die)
faria	obsolete form of fazer
tom	tone/ pitch (property of sound determined by the frequency)
mesa	table (item of furniture)
preso	arrested/ imprisoned (having been taken into legal custody)
simples	simple
iria	to go (to move to a destination)
fixe	cool/ awesome
emprego	to employ (to give someone a job)
achei	to find/ to encounter (to come across something that was unknown…
faças	to make
chama	to call/ to summon (to ask someone to come)
linha	line (a string/ a thread)
dizes	to say
real	true/ real
nave	ship
lembras-te	to remember
assunto	subject/ topic/ theme
vale	valley
cala-te
ataque	attack (an attempt to cause damage/ injury to/ or death of an…
pensava	to think (communicate to oneself in one’s mind)
frank	a male given name from English/ equivalent to English Frank
ai	ouch (expression of physical pain)
graças	grace (divine assistance)
escolha	to choose
ordem	order (arrangement/ disposition)
viva	to live/ to have life
fundo	to found/ establish
terá	to have
doente	sick (in poor health)
acidente	accident (unexpected event with negative consequences)
má	bad
the
modo	mode/ way/ method (method or manner of doing something)
provas	examination/ test
resposta	answer/ response
bocado	mouthful (amount that fits in a mouth)
papá	dad/ daddy/ father
avião	airplane
deixe-me
vindo	to come (to move towards the speaker or the agent)
após	after (later in time)
erro	error/ mistake
acredita	to believe (to accept that someone is telling the truth)
miúdos	very small
verdadeiro	truthful (accurately depicting what is real)
jesus	Jesus Christ
idade	age (part of the duration of a being or thing between its…
fizeram	to make
fantástico	fantastic (wonderful/ marvelous)
pare	inflection of parar:
morta	to kill (to cause to die)
leva	wave (sudden unusually large amount of something)
percebo	to understand
saiu	to exit/ to leave (go away from a certain place or situation)/ to…
pensas	to think (communicate to oneself in one’s mind)
advogado	lawyer (individual trained in Law and legally qualified to…
conhece	to know (be acquainted or familiar with)
espaço	space:
estivesse	to be (indicates location in space)
fazia	to make
serviço	service (work that is produced/ traded/ sold/ then consumed)
missão	mission (set of tasks that fulfills a purpose or duty/ an assignment)
ler	to read (to look at and interpret written information)
louco	crazy/ mad/ insane (of unsound mind)
bons	good
conhecer	to know (be acquainted or familiar with)
nele	contraction of em + ele/ literally “in/on him”
lindo	to demarcate
informação	information
abrir	to open
mente	to lie (to affirm as true what is known to be false/ or to deny…
mike
perceber	to understand
amo-te	I love you
programa	program
veja	to see/ to observe (to perceive with one’s eyes)
sol	sun/ sunlight/ sunshine (the light and heat which are received…
fomos	to go (to move to a destination)
simplesmente	simply/ merely
caixa	box
sete	seven
senhores	a man (an adult male human)
hotel	hotel
nessa	contraction of em + essa/ literally “in that (near you/…
gostar	to like
incrível	noncredible/ uncredible
puta	feminine singular of puto
amo	to love/ to have great affection for
vai-te
david	a male given name/ equivalent to English David
dor	pain (physical or emotional)
joe
dessa	contraction of de + essa/ literally “of/from that (feminine/ near…
presente	present (pertaining to the curent time)
carta	letter (written message)
governo	government
barco	boat (water craft)
loja	shop/ store
energia	energy (impetus behind activity)
pra	contraction of pra + o/ literally “for/to the (masculine singular)”
vítima	victim
roupa	clothing/ clothes
voz	voice (all senses)
trouxe	bring (to transport toward somebody/somewhere)
luta	fight (physical conflict between two parties)
câmara	chamber
disse-me
fome	hunger (need or compelling desire for food)
professor	teacher (a person who teaches professionally)
estúpido	stupid
mamã	mummy/ mum/ mom (USA)
mostrar	to show
hipótese	hypothesis (tentative conjecture in science)
telemóvel	mobile/ mobile phone/ cellphone
reunião	meeting/ reunion
prova	examination/ test
s	The nineteenth letter of the Portuguese alphabet/ written in the…
percebi	to understand
casar	to marry
general	general (said of the subcategory of armed forces officer with a…
peter
volto	first-person singular present indicative of voltar/ "I go back/ I…
trazer	bring (to transport toward somebody/somewhere)
olho	eye
chamado	to call/ to summon (to ask someone to come)
conseguiu	to get/ obtain
exército	army
através	through/ across (from one side to the other)
lei	law
digas	to say
banco	bank (financial institution)
naquela	contraction of em + aquele/ literally “in that”
deixe	to leave/ to exit (to go out of or away from a place)
nesse	contraction of em + esse/ literally “in that (near you/ masculine)”
disseram	to say
conseguimos	to get/ obtain
segunda	second (ordinal numeral for 2)
tempos	time (the progression from the present into the future)
podias	to be able to/ can (to have the ability to)
tocar	to touch/ to finger/ to feel (tactually)
mês	month (each of the twelve periods into which the year is divided)
tiro	to take/ take out/ take away
fbi
soube	to know
tenhas	to have
quantos	how much/ how many (what number or quantity of)
creio	pre-reform spelling (used until 1943 in Brazil and 1911 in…
george
papel	paper (sheet material typically used for writing on or printing)
sonho	dream (imaginary events seen while sleeping)
ver-te
desse	to give
tínhamos	to have
bar	pub/ bar (establishment that serves alcoholic beverages primarily)
povo	people
tentei	to try/ go for/ attempt
eras	era (time period of indeterminate length/ generally more than one…
fizemos	to make
cena	scene (location of an event that attracts attention)
tenente	lieutenant (a low commissioned officer rank)
centro	centre (middle of anything)
tivemos	to be (indicates location in space)
conversar	to talk/ to chat (to engage in conversation)
teres	to have
nao	obsolete spelling of nau
vê-lo
proteger	to protect
diabo	devil/ demon/ fiend (creature from Hell)
parabéns	happy birthday!
bebida	to drink (something)
aposto	to bet (to make a guess about the outcome of an event)
base	basis
tradução	translation
sinto-me	to sense/ to feel (to perceive by means of biological senses)
